State,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
S,S,-0.01,0.03,0.98,3.91,0.67,-0.61,-24.28,52.40,-400.00
S,S,-0.00,0.03,0.98,4.15,0.79,-0.49,-24.28,52.40,-400.00
S,S,-0.00,0.03,0.98,4.03,0.85,-0.55,-24.26,52.32,-400.00
S,S,-0.01,0.03,0.98,4.03,0.67,-0.55,-24.26,52.32,-400.00
S,S,-0.01,0.03,0.98,4.15,0.98,-0.55,-24.26,52.32,-400.00
S,S,-0.01,0.03,0.98,4.15,0.85,-0.61,-24.18,51.73,-400.00
S,S,-0.01,0.03,0.98,3.91,0.85,-0.49,-24.18,51.73,-400.00
S,S,-0.01,0.03,0.98,4.09,0.92,-0.67,-24.18,51.73,-400.00
S,S,-0.01,0.03,0.98,4.21,0.73,-0.55,-24.18,51.73,-400.00
S,S,-0.01,0.03,0.98,3.91,0.73,-0.61,-23.78,52.23,-400.00
S,S,-0.00,0.03,0.98,4.21,0.79,-0.55,-23.78,52.23,-400.00
S,S,-0.01,0.03,0.98,3.97,0.98,-0.61,-23.78,52.23,-400.00
S,S,-0.00,0.03,0.98,4.21,0.85,-0.61,-24.66,52.48,-400.00
S,S,-0.01,0.03,0.98,3.97,0.79,-0.73,-24.66,52.48,-400.00
S,S,-0.01,0.03,0.98,4.03,0.79,-0.49,-24.66,52.48,-400.00
S,S,-0.01,0.03,0.98,4.03,0.85,-0.67,-24.66,52.48,-400.00
S,S,-0.00,0.02,0.98,3.97,0.79,-0.61,-24.21,52.42,-400.00
S,S,-0.01,0.03,0.98,4.15,0.85,-0.67,-24.21,52.42,-400.00
S,S,-0.01,0.03,0.98,4.09,0.85,-0.55,-24.21,52.42,-400.00
S,S,-0.01,0.03,0.98,3.97,0.79,-0.49,-23.83,52.89,-400.00
S,S,-0.01,0.03,0.98,4.15,0.73,-0.61,-23.83,52.89,-400.00
S,S,-0.01,0.03,0.98,4.03,0.73,-0.55,-23.83,52.89,-400.00
S,S,-0.01,0.03,0.98,4.09,0.85,-0.67,-24.27,52.10,-400.00
S,S,-0.01,0.03,0.98,4.21,0.73,-0.61,-24.27,52.10,-400.00
S,S,-0.00,0.03,0.98,4.15,0.79,-0.61,-24.27,52.10,-400.00
S,S,-0.01,0.03,0.98,4.21,0.79,-0.67,-24.27,52.10,-400.00
S,S,-0.01,0.03,0.98,3.97,0.85,-0.55,-23.89,51.75,-400.00
S,S,-0.01,0.03,0.98,3.91,0.92,-0.49,-23.89,51.75,-400.00
S,S,-0.01,0.03,0.98,4.15,0.85,-0.55,-23.89,51.75,-400.00
S,S,-0.01,0.03,0.98,4.15,0.98,-0.49,-24.26,51.46,-400.00
S,S,-0.01,0.03,0.98,3.97,0.79,-0.67,-24.26,51.46,-400.00
S,S,-0.01,0.03,0.98,4.09,0.98,-0.61,-24.26,51.46,-400.00
S,S,-0.01,0.03,0.98,4.09,0.92,-0.55,-24.26,51.46,-400.00
S,S,-0.01,0.03,0.98,4.21,0.85,-0.61,-24.32,51.76,-400.00
S,S,-0.01,0.02,0.98,4.21,0.79,-0.49,-24.32,51.76,-400.00
S,S,-0.01,0.03,0.98,3.91,0.79,-0.49,-24.32,51.76,-400.00
S,S,-0.00,0.03,0.98,4.03,0.85,-0.55,-24.78,52.27,-400.00
S,S,-0.01,0.03,0.98,4.15,0.73,-0.61,-24.78,52.27,-400.00
S,S,-0.01,0.03,0.98,4.15,0.92,-0.55,-24.78,52.27,-400.00
S,S,-0.00,0.03,0.98,3.91,0.79,-0.61,-24.82,52.20,-400.00
S,S,-0.01,0.03,0.98,4.09,0.98,-0.61,-24.82,52.20,-400.00
S,S,-0.01,0.03,0.98,4.15,0.79,-0.43,-24.82,52.20,-400.00
S,S,-0.01,0.03,0.98,4.21,0.79,-0.49,-24.82,52.20,-400.00
S,S,-0.01,0.03,0.98,4.03,0.79,-0.49,-24.07,51.89,-400.00
S,S,-0.01,0.03,0.98,4.21,0.73,-0.61,-24.07,51.89,-400.00
S,S,-0.01,0.03,0.98,4.21,0.67,-0.73,-24.07,51.89,-400.00
S,S,-0.01,0.03,0.98,4.21,0.67,-0.55,-24.30,53.00,-400.00
S,S,-0.01,0.03,0.98,4.03,0.67,-0.49,-24.30,53.00,-400.00
S,S,-0.00,0.03,0.98,4.15,0.85,-0.61,-24.30,53.00,-400.00
S,S,-0.01,0.03,0.98,3.97,0.67,-0.67,-24.30,53.00,-400.00
S,S,-0.01,0.03,0.98,4.03,0.73,-0.55,-24.58,52.43,-400.00
S,S,-0.01,0.03,0.98,4.09,0.92,-0.43,-24.58,52.43,-400.00
S,S,-0.01,0.03,0.98,3.97,0.92,-0.67,-24.58,52.43,-400.00
S,S,-0.01,0.03,0.98,4.15,0.92,-0.49,-23.78,51.62,-400.00
S,S,-0.01,0.03,0.98,3.91,0.98,-0.67,-23.78,51.62,-400.00
S,S,-0.01,0.03,0.98,4.03,0.92,-0.67,-23.78,51.62,-400.00
S,S,-0.00,0.03,0.98,3.97,0.67,-0.73,-23.78,51.62,-400.00
S,S,-0.01,0.03,0.98,3.97,0.73,-0.61,-24.28,53.03,-400.00
S,S,-0.01,0.03,0.98,3.97,0.85,-0.67,-24.28,53.03,-400.00
S,S,-0.00,0.03,0.98,4.09,0.79,-0.67,-24.28,53.03,-400.00
S,S,-0.01,0.03,0.98,4.09,0.67,-0.55,-24.32,52.95,-400.00
S,S,-0.01,0.03,0.98,4.21,0.79,-0.67,-24.32,52.95,-400.00
S,S,-0.01,0.03,0.98,4.03,0.92,-0.73,-24.32,52.95,-400.00
S,S,-0.01,0.03,0.98,4.15,0.73,-0.67,-24.11,52.27,-400.00
S,S,-0.01,0.03,0.98,3.85,0.85,-0.61,-24.11,52.27,-400.00
S,S,-0.01,0.03,0.98,3.85,0.61,-0.67,-24.11,52.27,-400.00
S,S,-0.00,0.03,0.98,4.09,0.73,-0.61,-24.11,52.27,-400.00
S,S,-0.01,0.03,0.98,4.03,0.79,-0.55,-24.16,52.11,-400.00
S,S,-0.01,0.03,0.98,4.09,0.73,-0.61,-24.16,52.11,-400.00
S,S,-0.00,0.03,0.98,4.09,0.73,-0.55,-24.16,52.11,-400.00
S,S,-0.01,0.02,0.98,4.03,0.79,-0.67,-24.02,52.36,-400.00
S,S,-0.01,0.02,0.98,4.15,0.85,-0.67,-24.02,52.36,-400.00
S,S,-0.01,0.03,0.98,4.03,0.67,-0.55,-24.02,52.36,-400.00
S,S,-0.01,0.03,0.98,3.91,0.85,-0.61,-24.02,52.36,-400.00
S,S,-0.00,0.03,0.98,4.03,0.79,-0.67,-23.91,52.05,-400.00
S,S,-0.00,0.03,0.98,4.33,0.73,-0.67,-23.91,52.05,-400.00
S,S,-0.00,0.03,0.98,4.15,0.61,-0.61,-23.91,52.05,-400.00
S,S,-0.01,0.03,0.98,4.09,0.79,-0.49,-24.26,51.62,-400.00
S,S,-0.01,0.03,0.98,4.15,0.79,-0.55,-24.26,51.62,-400.00
S,S,-0.01,0.03,0.98,4.03,0.85,-0.61,-24.26,51.62,-400.00
S,S,-0.01,0.03,0.98,4.03,0.79,-0.55,-23.75,51.70,-400.00
S,S,-0.01,0.03,0.98,4.15,0.92,-0.55,-23.75,51.70,-400.00
S,S,-0.00,0.03,0.98,3.91,0.67,-0.55,-23.75,51.70,-400.00
S,S,-0.01,0.03,0.98,4.03,0.79,-0.67,-23.75,51.70,-400.00
S,S,-0.00,0.03,0.98,4.09,0.92,-0.67,-24.12,53.36,-400.00
S,S,-0.00,0.03,0.98,4.03,0.85,-0.49,-24.12,53.36,-400.00
S,S,-0.01,0.03,0.98,4.09,0.85,-0.55,-24.12,53.36,-400.00
S,S,-0.01,0.03,0.98,4.21,0.98,-0.55,-24.51,52.69,-400.00
S,S,-0.01,0.03,0.98,3.97,0.79,-0.61,-24.51,52.69,-400.00
S,S,-0.01,0.02,0.98,4.03,0.98,-0.43,-24.51,52.69,-400.00
S,S,-0.00,0.03,0.98,4.09,1.04,-0.55,-24.51,52.69,-400.00
S,S,-0.01,0.03,0.98,4.09,0.92,-0.61,-23.88,52.32,-400.00
S,S,-0.01,0.03,0.98,4.21,0.85,-0.55,-23.88,52.32,-400.00
S,S,-0.01,0.03,0.98,3.97,0.92,-0.49,-23.88,52.32,-400.00
S,S,-0.01,0.03,0.98,3.85,0.92,-0.67,-24.33,52.47,-400.00
S,S,-0.01,0.03,0.98,4.21,0.79,-0.61,-24.33,52.47,-400.00
S,S,-0.01,0.03,0.98,4.09,0.85,-0.43,-24.33,52.47,-400.00
S,S,-0.01,0.03,0.98,3.91,0.92,-0.49,-24.33,52.47,-400.00
S,S,-0.01,0.03,0.98,3.91,0.79,-0.43,-23.93,52.94,-400.00
S,S,-0.01,0.03,0.98,4.15,0.79,-0.55,-23.93,52.94,-400.00
S,S,-0.00,0.03,0.98,4.03,0.79,-0.55,-23.93,52.94,-400.00
S,S,-0.00,0.03,0.98,3.97,0.98,-0.49,-23.72,51.27,-400.00
S,S,-0.00,0.03,0.98,3.91,0.92,-0.55,-23.72,51.27,-400.00
S,S,-0.01,0.03,0.98,4.09,0.67,-0.49,-23.72,51.27,-400.00
S,S,-0.01,0.03,0.98,4.09,0.92,-0.55,-24.07,51.84,-400.00
S,S,-0.01,0.03,0.98,4.03,0.67,-0.61,-24.07,51.84,-400.00
S,S,-0.01,0.03,0.98,3.85,0.92,-0.49,-24.07,51.84,-400.00
S,S,-0.01,0.03,0.98,3.91,0.85,-0.55,-24.07,51.84,-400.00
S,S,-0.01,0.03,0.98,3.97,0.73,-0.55,-23.90,52.08,-400.00
S,S,-0.01,0.03,0.98,4.03,0.73,-0.55,-23.90,52.08,-400.00
S,S,-0.01,0.03,0.98,4.21,0.79,-0.55,-23.90,52.08,-400.00
S,S,-0.01,0.03,0.98,3.85,0.79,-0.61,-23.93,52.43,-400.00
S,S,-0.00,0.03,0.98,4.03,0.92,-0.61,-23.93,52.43,-400.00
S,S,-0.01,0.03,0.98,3.97,0.79,-0.67,-23.93,52.43,-400.00
S,S,-0.01,0.02,0.98,3.97,0.92,-0.61,-23.93,52.43,-400.00
S,S,-0.01,0.03,0.98,4.03,0.85,-0.61,-24.19,52.27,-400.00
S,S,-0.01,0.03,0.98,4.09,0.92,-0.55,-24.19,52.27,-400.00
S,S,-0.01,0.03,0.98,4.27,0.79,-0.49,-24.19,52.27,-400.00
S,S,-0.00,0.03,0.98,4.21,0.67,-0.61,-24.01,52.09,-400.00
S,S,-0.01,0.03,0.98,4.03,0.79,-0.55,-24.01,52.09,-400.00
S,S,-0.01,0.03,0.98,3.97,0.85,-0.67,-24.01,52.09,-400.00
S,S,-0.01,0.03,0.98,4.09,0.92,-0.43,-23.68,52.10,-400.00
S,S,-0.01,0.03,0.98,3.97,0.79,-0.61,-23.68,52.10,-400.00
S,S,-0.01,0.03,0.98,4.15,0.98,-0.37,-23.68,52.10,-400.00
S,S,-0.01,0.02,0.98,4.03,0.85,-0.61,-23.68,52.10,-400.00
S,S,-0.01,0.03,0.98,3.97,0.67,-0.61,-23.65,52.50,-400.00
S,S,-0.01,0.03,0.98,4.03,0.92,-0.55,-23.65,52.50,-400.00
S,S,-0.01,0.03,0.98,4.03,0.73,-0.73,-23.65,52.50,-400.00
S,S,-0.01,0.03,0.98,4.09,0.79,-0.67,-23.78,52.37,-400.00
S,S,-0.01,0.03,0.98,4.03,0.73,-0.55,-23.78,52.37,-400.00
S,S,-0.01,0.03,0.98,4.27,0.85,-0.61,-23.78,52.37,-400.00
S,S,-0.01,0.03,0.98,4.09,0.79,-0.49,-23.78,52.37,-400.00
S,S,-0.01,0.03,0.98,3.97,0.67,-0.55,-23.54,52.32,-400.00
S,S,-0.00,0.03,0.98,4.15,0.73,-0.61,-23.54,52.32,-400.00
S,S,-0.00,0.03,0.98,4.15,0.85,-0.55,-23.54,52.32,-400.00
S,S,-0.01,0.02,0.98,3.97,0.98,-0.61,-23.49,51.31,-400.00
S,S,-0.01,0.03,0.98,3.91,0.85,-0.43,-23.49,51.31,-400.00
S,S,-0.01,0.03,0.98,4.27,0.92,-0.49,-23.49,51.31,-400.00
S,S,-0.01,0.03,0.98,4.03,0.85,-0.79,-23.49,51.31,-400.00
S,S,-0.00,0.03,0.98,4.09,0.61,-0.49,-23.45,51.55,-400.00
S,S,-0.01,0.03,0.98,4.15,0.92,-0.49,-23.45,51.55,-400.00
S,S,-0.01,0.03,0.98,4.03,0.85,-0.61,-23.45,51.55,-400.00
S,S,-0.01,0.02,0.98,4.03,0.79,-0.67,-23.49,51.27,-400.00
S,S,-0.01,0.02,0.98,3.97,0.92,-0.67,-23.49,51.27,-400.00
S,S,-0.01,0.03,0.98,3.91,0.85,-0.61,-23.49,51.27,-400.00
S,S,-0.01,0.03,0.98,3.97,0.98,-0.61,-22.99,51.48,-400.00
S,S,-0.01,0.03,0.98,3.91,0.79,-0.49,-22.99,51.48,-400.00
S,S,-0.00,0.03,0.98,4.09,0.79,-0.49,-22.99,51.48,-400.00
S,S,-0.01,0.03,0.98,4.15,0.73,-0.49,-22.99,51.48,-400.00
S,S,-0.01,0.03,0.98,4.09,0.79,-0.43,-23.24,52.10,-400.00
S,S,-0.01,0.03,0.98,3.97,0.79,-0.55,-23.24,52.10,-400.00
S,S,-0.01,0.03,0.98,4.15,0.79,-0.55,-23.24,52.10,-400.00
S,S,-0.00,0.03,0.98,4.03,0.85,-0.55,-23.27,51.56,-400.00
S,S,-0.01,0.03,0.98,4.09,0.85,-0.61,-23.27,51.56,-400.00
S,S,-0.01,0.03,0.98,4.15,0.67,-0.55,-23.27,51.56,-400.00
S,S,-0.00,0.03,0.98,3.97,0.98,-0.61,-23.27,51.56,-400.00
S,S,-0.01,0.03,0.98,4.03,0.73,-0.49,-22.96,51.49,-400.00
S,S,-0.01,0.03,0.98,4.09,0.92,-0.55,-22.96,51.49,-400.00
S,S,-0.00,0.03,0.98,4.09,0.92,-0.55,-22.96,51.49,-400.00
S,S,-0.01,0.03,0.98,4.21,0.79,-0.61,-22.66,51.33,-400.00
S,S,-0.00,0.03,0.98,4.09,0.73,-0.43,-22.66,51.33,-400.00
S,S,-0.01,0.03,0.98,3.91,0.73,-0.55,-22.66,51.33,-400.00
S,S,-0.01,0.03,0.98,3.97,0.79,-0.61,-23.22,51.56,-400.00
S,S,-0.01,0.03,0.98,4.21,0.98,-0.49,-23.22,51.56,-400.00
S,S,-0.00,0.03,0.98,4.03,0.85,-0.55,-23.22,51.56,-400.00
S,S,-0.01,0.03,0.98,4.09,0.79,-0.55,-23.22,51.56,-400.00
S,S,-0.01,0.03,0.98,4.27,0.85,-0.55,-23.56,51.50,-400.00
S,S,-0.01,0.03,0.98,4.15,0.85,-0.61,-23.56,51.50,-400.00
S,S,-0.01,0.03,0.98,4.09,0.92,-0.49,-23.56,51.50,-400.00
S,S,-0.01,0.03,0.98,4.15,0.85,-0.49,-23.08,51.72,-400.00
S,S,-0.01,0.03,0.98,4.15,0.92,-0.49,-23.08,51.72,-400.00
S,S,-0.01,0.03,0.98,4.09,0.79,-0.43,-23.08,51.72,-400.00
S,S,-0.01,0.03,0.98,3.97,0.73,-0.55,-23.08,51.72,-400.00
S,S,-0.01,0.03,0.98,4.27,0.79,-0.55,-23.88,52.01,-400.00
S,S,-0.01,0.03,0.98,4.15,0.79,-0.61,-23.88,52.01,-400.00
S,S,-0.01,0.03,0.98,4.15,0.79,-0.61,-23.88,52.01,-400.00
S,S,-0.01,0.03,0.98,3.85,0.85,-0.49,-23.90,52.00,-400.00
S,S,-0.01,0.03,0.98,4.09,0.85,-0.49,-23.90,52.00,-400.00
S,S,-0.01,0.03,0.98,3.97,0.85,-0.61,-23.90,52.00,-400.00
S,S,-0.01,0.03,0.98,4.03,0.98,-0.55,-23.90,52.00,-400.00
S,S,-0.01,0.03,0.98,4.09,0.73,-0.49,-23.24,51.23,-400.00
S,S,-0.01,0.03,0.98,4.09,1.04,-0.67,-23.24,51.23,-400.00
S,S,-0.01,0.03,0.98,3.97,1.04,-0.61,-23.24,51.23,-400.00
S,S,-0.01,0.03,0.98,4.09,0.67,-0.43,-23.21,51.75,-400.00
S,S,-0.01,0.03,0.98,4.27,0.79,-0.67,-23.21,51.75,-400.00
S,S,-0.01,0.03,0.98,3.85,0.92,-0.61,-23.21,51.75,-400.00
S,S,-0.01,0.03,0.98,4.03,0.98,-0.73,-23.78,52.69,-400.00
S,S,-0.00,0.03,0.98,4.03,0.92,-0.67,-23.78,52.69,-400.00
S,S,-0.01,0.03,0.98,4.03,0.85,-0.55,-23.78,52.69,-400.00
S,S,-0.01,0.03,0.98,4.15,0.92,-0.49,-23.78,52.69,-400.00
S,S,-0.01,0.03,0.98,4.15,0.85,-0.55,-23.33,52.44,-400.00
S,S,-0.01,0.03,0.98,4.03,0.79,-0.49,-23.33,52.44,-400.00
S,S,-0.01,0.03,0.98,4.21,0.79,-0.67,-23.33,52.44,-400.00
S,S,-0.00,0.03,0.98,3.97,0.73,-0.49,-24.05,51.98,-400.00
S,S,-0.01,0.03,0.98,4.09,0.85,-0.61,-24.05,51.98,-400.00
S,S,-0.01,0.03,0.98,4.03,0.79,-0.43,-24.05,51.98,-400.00
S,S,-0.01,0.03,0.98,4.03,0.79,-0.49,-24.05,51.98,-400.00
S,S,-0.01,0.02,0.98,4.21,0.79,-0.55,-24.19,52.49,-400.00
S,S,-0.01,0.03,0.98,3.97,0.85,-0.61,-24.19,52.49,-400.00
S,S,-0.01,0.03,0.98,3.97,0.79,-0.61,-24.19,52.49,-400.00
S,S,-0.01,0.03,0.98,4.27,0.79,-0.55,-23.97,52.56,-400.00
S,S,-0.01,0.03,0.98,4.15,0.85,-0.49,-23.97,52.56,-400.00
S,S,-0.01,0.03,0.98,4.09,0.92,-0.73,-23.97,52.56,-400.00
S,S,-0.01,0.02,0.98,3.91,0.73,-0.61,-23.32,51.98,-400.00
S,S,-0.01,0.03,0.98,3.91,0.67,-0.61,-23.32,51.98,-400.00
S,S,-0.01,0.03,0.98,4.09,0.79,-0.61,-23.32,51.98,-400.00
S,S,-0.01,0.03,0.98,4.03,0.79,-0.49,-23.32,51.98,-400.00
S,S,-0.01,0.03,0.98,3.97,0.79,-0.55,-23.18,52.25,-400.00
S,S,-0.01,0.03,0.98,4.09,0.67,-0.55,-23.18,52.25,-400.00
S,S,-0.01,0.03,0.98,4.09,0.73,-0.55,-23.18,52.25,-400.00
S,S,-0.01,0.03,0.98,4.03,0.98,-0.61,-23.75,52.20,-400.00
S,S,-0.01,0.03,0.98,3.97,0.55,-0.55,-23.75,52.20,-400.00
S,S,-0.01,0.03,0.97,4.03,0.73,-0.73,-23.75,52.20,-400.00
S,S,-0.01,0.02,0.98,4.03,0.67,-0.67,-23.75,52.20,-400.00
S,S,-0.01,0.03,0.98,4.15,0.73,-0.67,-24.10,51.98,-400.00
S,S,-0.01,0.03,0.98,4.03,0.85,-0.61,-24.10,51.98,-400.00
S,S,-0.01,0.02,0.98,3.97,0.92,-0.55,-24.10,51.98,-400.00
